,City,coords,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hobart,"(-63.90826153679879, 139.9386413210645)",20,au,1529946000,87,-42.88,147.33,42.8,10.29
1,cidreira,"(-33.9175312577325, -48.23309965154235)",92,br,1529947870,100,-30.17,-50.22,56.37,11.77
2,arona,"(27.561958740989354, -16.64054321279741)",20,es,1529946000,69,28.1,-16.68,75.2,16.11
3,tuktoyaktuk,"(89.2141991524411, -128.13850662600913)",75,ca,1529946000,70,69.44,-133.03,46.4,2.24
4,kruisfontein,"(-42.76150899105838, 24.69177759461661)",48,za,1529947873,100,-34.0,24.73,58.17,5.06
5,punta arenas,"(-59.476653663078594, -102.35259798647589)",90,cl,1529946000,93,-53.16,-70.91,35.6,10.29
6,tessalit,"(21.10349758385604, -0.9057873330803545)",76,ml,1529947876,16,20.2,1.01,102.54,3.38
7,udachnyy,"(65.31388365217953, 113.75792484247881)",20,ru,1529947877,74,66.42,112.4,62.49,2.48
8,arcata,"(42.00735261364463, -124.5074505051378)",75,us,1529946000,82,40.87,-124.08,59,9.17
9,ushuaia,"(-63.18206888529182, -60.82331225612745)",20,ar,1529946000,74,-54.81,-68.31,35.6,17.22
10,hermanus,"(-41.412579116629466, 16.61954179416685)",0,za,1529947881,81,-34.42,19.24,51.33,5.95
12,butaritari,"(27.880875556576257, 177.82209224819422)",36,ki,1529947883,100,3.07,172.79,80.04,4.94
13,dwarahat,"(29.74420526273275, 79.5066485351818)",8,in,1529947885,87,29.78,79.43,66.09,2.37
14,vaini,"(-57.73024134853492, -176.2870879007732)",20,to,1529946000,88,-21.2,-175.2,71.6,4.7
15,usinsk,"(66.6533296676694, 56.657359626009395)",20,ru,1529947888,65,66.0,57.56,69.51,3.04
16,arraial do cabo,"(-32.37362864793608, -36.71110065432714)",20,br,1529946000,69,-22.97,-42.02,78.8,4.7
17,saint pete beach,"(27.27712324173642, -83.71355888916597)",40,us,1529946900,66,27.73,-82.74,89.6,9.17
18,dingle,"(50.828039738870615, -17.045885673237052)",88,ie,1529947892,73,52.14,-10.27,63.3,2.48
19,saskylakh,"(74.96260414545608, 120.47913290898634)",20,ru,1529947893,73,71.97,114.09,47.37,11.21
20,kattivakkam,"(12.621182686495018, 84.18375300726541)",40,in,1529944200,70,13.22,80.32,87.8,5.82
22,olenegorsk,"(68.324295818872, 33.01459135384877)",68,ru,1529947897,50,68.14,33.28,60.96,5.39
23,ambilobe,"(-11.823439466982578, 47.96821639979822)",0,mg,1529947898,58,-13.19,49.05,74.19,13.44
24,bubaque,"(8.015979885388305, -19.580596991175298)",20,gw,1529946000,62,11.28,-15.83,86,12.75
25,san patricio,"(13.001034163844949, -112.9109683897221)",40,mx,1529944860,62,19.22,-104.7,89.6,9.17
26,thohoyandou,"(-22.97001657721586, 30.601715203837784)",0,za,1529947902,77,-22.97,30.46,54.84,4.05
27,cape town,"(-74.20912357252396, -5.9802171668302435)",0,za,1529946000,82,-33.93,18.42,57.2,8.05
28,orcopampa,"(-15.181286860074891, -73.04066783422013)",32,pe,1529947904,47,-15.27,-72.34,44.4,3.49
29,ugoofaaru,"(5.677298555987193, 68.24005277899136)",44,mv,1529947906,98,5.67,73.0,82.92,14.23
30,saint-augustin,"(58.951146029349616, -61.6241459319173)",20,ca,1529942400,34,45.63,-73.98,68,14.99
31,aykhal,"(67.04558353339544, 109.29815881333928)",88,ru,1529947908,66,65.95,111.51,62.85,3.6
32,carnarvon,"(-25.426121405758607, 115.4650071656514)",0,au,1529947909,100,-24.87,113.63,60.06,4.5
33,jamestown,"(-27.602867120435448, -15.805158787716834)",88,sh,1529947911,100,-15.94,-5.72,69.96,14.56
34,wajir,"(1.4434130468896313, 39.87262110935785)",0,ke,1529946000,48,1.75,40.07,84.2,3.36
35,sisimiut,"(67.23875412392476, -58.753936342036596)",64,gl,1529947913,99,66.94,-53.67,34.23,2.93
36,clyde river,"(71.0721607339508, -63.34571292008201)",90,ca,1529947140,81,70.47,-68.59,42.8,4.7
37,hambantota,"(-5.888253048462886, 85.07993767141153)",48,lk,1529947916,95,6.12,81.12,81.57,16.58
38,sabang,"(7.179335772666761, 91.63831009905573)",56,id,1529947917,100,1.17,120.82,79.68,7.52
39,kholodnyy,"(61.3709159865312, 147.10783480021104)",20,ru,1529947918,70,62.72,147.95,48.18,2.37
41,quijingue,"(-10.99085704605882, -39.31659943073734)",36,br,1529947921,45,-10.75,-39.21,82.47,13
42,comodoro rivadavia,"(-44.98111008244218, -68.21979567523906)",75,ar,1529946000,49,-45.87,-67.48,48.2,16.11
43,kaitangata,"(-56.0722557837679, 172.73336192222393)",92,nz,1529947923,94,-46.28,169.85,36.39,11.21
44,torbay,"(41.90790974002974, -41.9803295751893)",90,ca,1529946000,100,47.66,-52.73,44.6,16.11
46,eirunepe,"(-6.785853361220248, -69.70521740133032)",24,br,1529947872,58,-6.66,-69.87,88.86,2.93
47,provideniya,"(49.88316984788955, -173.75111435633494)",80,ru,1529947928,100,64.42,-173.23,39.36,9.42
48,kanata,"(45.54013791110245, -75.91797761271896)",20,ca,1529946000,34,45.32,-75.9,68,14.99
49,rikitea,"(-69.86708062127308, -127.32063717095488)",32,pf,1529947930,100,-23.12,-134.97,75.9,13.22
50,khorixas,"(-20.58947093284769, 14.207984774605734)",0,na,1529947932,29,-20.37,14.96,57.09,2.93
51,kapaa,"(39.84905852354137, -167.05664945479475)",90,us,1529945760,83,22.08,-159.32,77,18.34
53,puerto ayora,"(-17.621730697174712, -107.78154065234683)",20,ec,1529946000,61,-0.74,-90.35,78.8,17.22
54,krasnyy luch,"(57.27211037772497, 30.06459573431431)",24,ru,1529947937,55,55.97,38.97,66.9,5.39
55,qaqortoq,"(66.89562274398114, -45.10358345008177)",20,gl,1529945400,53,60.72,-46.03,50,9.17
56,busselton,"(-42.340553655710956, 85.17619604987505)",92,au,1529947939,100,-33.64,115.35,62.31,14.23
57,san juan,"(23.88823112457112, -65.97890739765556)",40,us,1529946900,49,26.19,-98.16,93.2,13.87
58,krasnaya gorka,"(55.196127902750646, 56.91550505889734)",0,ru,1529947942,81,55.19,56.67,70.59,2.71
59,barrow,"(73.77680932621229, -149.8971140548735)",90,us,1529945700,78,39.51,-90.4,78.8,9.17
60,port-gentil,"(-0.3975384124576067, 3.3406107124593802)",32,ga,1529947944,85,-0.72,8.78,80.04,10.98
61,mar del plata,"(-47.88538905768021, -53.1475610008908)",64,ar,1529947945,58,-46.43,-67.52,49.8,14
62,bredasdorp,"(-82.3025961182596, 26.867031198140694)",8,za,1529946000,82,-34.53,20.04,55.4,4.7
63,hamilton,"(26.903101954851195, -66.64356304470675)",20,bm,1529945700,70,32.3,-64.78,84.2,14.99
64,alghero,"(40.75063528322963, 6.29904375832777)",20,it,1529945400,65,40.56,8.32,77,9.17
65,hilo,"(21.064563505205456, -152.6346045080344)",90,us,1529945760,88,19.71,-155.08,73.4,5.82
67,wewak,"(-0.18697088785826566, 144.02619986177137)",32,pg,1529947953,100,-3.55,143.63,73.56,2.15
68,aksu,"(41.52682241800795, 81.2201881923948)",12,cn,1529947954,59,41.12,80.26,58.26,5.06
69,eregli,"(37.54560557270402, 33.715964786655576)",88,tr,1529947719,80,37.51,34.05,65.01,2.59
70,tiksi,"(75.33961074320808, 124.81179886889197)",80,ru,1529947956,92,71.64,128.87,32.16,15.68
